algorithm,variant,n,mean_energy,std_energy,mean_duration,std_duration,trials,ga_energy,ratio
Factorial,Iterative,100,2.6691265258233656e-07,1.3242668857976626e-08,0.0296893919362142,0.0014824927898902,30,1.1100533762817864e-07,0.41588638288301444
Factorial,Iterative,250,7.73336280908552e-07,3.273617291739372e-08,0.0857762047632907,0.003632069241074,30,3.207076989205258e-07,0.4147066507001886
Factorial,Iterative,500,2.433523202304328e-06,1.963483983684605e-08,0.2696784136690742,0.0021744233746524,30,1.008297624440483e-06,0.4143365567608789
Factorial,Iterative,750,6.182547997350748e-06,1.660523192908998e-07,0.6849544429676219,0.0183912362620643,30,2.56096855620672e-06,0.4142254224801987
Factorial,Iterative,900,8.62208504319925e-06,5.5703323137689626e-08,0.955181915164576,0.0061679260328588,30,3.5713190494764425e-06,0.41420596428625506
Factorial,Memoized,100,7.999557445206543e-07,4.2452504368994336e-08,0.0887306761733876,0.0047071181516392,30,3.31754139248277e-07,0.41471561585831124
Factorial,Memoized,250,2.6682328278494185e-06,2.5207252700772638e-08,0.2956755059974966,0.0027914924012748,30,1.1054978640906403e-06,0.4143183655309667
Factorial,Memoized,500,6.771903421866025e-06,1.4335744537027606e-07,0.750236876832787,0.015880566029363,30,2.805052322824809e-06,0.41421918596291285
Factorial,Memoized,750,1.2985803230792414e-05,1.046649369125769e-07,1.438594717036661,0.0115951047694439,30,5.378745803142628e-06,0.4142020102682865
Factorial,Memoized,900,1.6878224939083104e-05,1.1552040203553993e-07,1.8697518019316095,0.0127951019281219,30,6.990794237222074e-06,0.41419013329027493
Factorial,Tail_Recursive,100,4.190733021251044e-07,2.9254010986133097e-08,0.0465385391309003,0.0032505522622265,30,1.740024268616439e-07,0.4152076163747115
Factorial,Tail_Recursive,250,1.6401835110203442e-06,4.5917308798926617e-08,0.1818057275687654,0.0050867527809034,30,6.797514147432174e-07,0.4144361958134488
Factorial,Tail_Recursive,500,4.839567888909557e-06,4.645645355913363e-08,0.5361956319354552,0.0051460814464944,30,2.0047758905142297e-06,0.41424687834391394
